"Month","Day","Year","Latitude","Longitude","count","Average","Percent Change"
5,26,2014,40.75,-73.99,396,940.918032786885,-57.9134434455363
5,26,2014,40.65,-73.78,330,201.005464480874,64.1746411483254
5,26,2014,40.77,-73.87,315,332.092896174863,-5.14702252645089
5,26,2014,40.72,-74,312,904.103825136612,-65.4906890861947
5,26,2014,40.74,-74,262,735.327868852459,-64.3696354921413
5,26,2014,40.76,-73.98,260,1228.10928961749,-78.8292457195743
5,26,2014,40.73,-74,253,885.027322404372,-71.4133119288713
5,26,2014,40.76,-73.97,249,1176.44808743169,-78.8345951971759
5,26,2014,40.72,-73.99,243,604.31693989071,-59.7893118726829
5,26,2014,40.74,-73.99,233,1041.87978142077,-77.636575336718
5,26,2014,40.76,-73.99,231,657.338797814208,-64.8583043069838
5,26,2014,40.64,-73.78,209,190.448087431694,9.74119132331
5,26,2014,40.75,-73.98,209,873.092896174863,-76.0621119567394
5,26,2014,40.73,-73.99,201,790.338797814208,-74.567868798053
5,26,2014,40.69,-74.18,195,118.453551912568,64.6214882133137
5,26,2014,40.74,-74.01,179,549.060109289617,-67.3988335755091
5,26,2014,40.77,-73.98,177,447.382513661202,-60.4365404111346
5,26,2014,40.71,-74.01,172,566.136612021858,-69.6186403868614
5,26,2014,40.72,-74.01,165,584.967213114754,-71.7932909228484
5,26,2014,40.77,-73.96,139,476.775956284153,-70.8458452722063
5,26,2014,40.73,-73.98,137,396.792349726776,-65.4731246471018
5,26,2014,40.64,-73.79,136,81.2513661202186,67.3818010626135
5,26,2014,40.77,-73.86,131,136.617486338798,-4.11183552657894
5,26,2014,40.76,-74,127,283.945355191257,-55.2730841768985
5,26,2014,40.73,-74.01,117,401.054644808743,-70.8269180984563
5,26,2014,40.74,-73.98,117,454.901639344262,-74.2801542397924
5,26,2014,40.65,-73.79,115,94.6338797814208,21.5209608499827
5,26,2014,40.78,-73.98,113,333.420765027322,-66.108889471614
5,26,2014,40.72,-73.96,113,245.950819672131,-54.0558554955675
5,26,2014,40.75,-74,111,370.224043715847,-70.0181547135836
5,26,2014,40.72,-73.98,99,207.251366120219,-52.2319192132254
5,26,2014,40.77,-73.99,97,247.786885245902,-60.8534568309626
5,26,2014,40.78,-73.95,97,294.377049180328,-67.0490616472685
5,26,2014,40.71,-73.96,85,143.704918032787,-40.8510152863336
5,26,2014,40.75,-74.01,79,194.628415300546,-59.4098323834124
5,26,2014,40.75,-73.97,79,383.010928961749,-79.3739567134154
5,26,2014,40.71,-73.95,78,110.644808743169,-29.5041485578823
5,26,2014,40.76,-73.96,75,224.448087431694,-66.5847007839509
5,26,2014,40.78,-73.96,75,305.972677595628,-75.4880074295001
5,26,2014,40.7,-73.99,72,139.158469945355,-48.2604256655933
5,26,2014,40.72,-73.95,71,116.387978142077,-38.9971360157754
5,26,2014,40.77,-73.95,71,253.72131147541,-72.0165406732571
5,26,2014,40.7,-74.18,70,52.8579234972678,32.4304765843068
5,26,2014,40.77,-73.97,62,224.109289617486,-72.3349263630157
5,26,2014,40.69,-73.99,60,138.349726775956,-56.6316454696263
5,26,2014,40.79,-73.97,59,178.573770491803,-66.9604333057927
5,26,2014,40.71,-73.94,58,75.6120218579235,-23.2926212329262
5,26,2014,40.74,-73.97,56,86.0109289617486,-34.8919949174079
5,26,2014,40.68,-73.98,52,97.4590163934426,-46.6442388561817
5,26,2014,40.68,-73.97,52,74.6010928961749,-30.295927336654
5,26,2014,40.69,-74,52,71.2950819672131,-27.0636928029432
5,26,2014,40.69,-73.97,49,97.5300546448087,-49.7590766472434
5,26,2014,40.69,-73.96,48,67.2349726775956,-28.6085825747724
5,26,2014,40.71,-74.02,48,114.96174863388,-58.2469816522483
5,26,2014,40.7,-73.93,48,62.3169398907104,-22.9743949491406
5,26,2014,40.67,-73.96,47,46.9508196721311,0.104748603351958
5,26,2014,40.67,-73.98,46,78.5464480874317,-41.4359259774593
5,26,2014,40.69,-73.95,46,42.8579234972678,7.33137829912023
5,26,2014,40.77,-73.89,43,55.5737704918033,-22.6253687315634
5,26,2014,40.7,-74.01,43,138.114754098361,-68.86646884273
5,26,2014,40.79,-73.98,39,136.786885245902,-71.4884947267498
5,26,2014,40.68,-73.96,38,65.2732240437158,-41.7831728756802
5,26,2014,40.69,-73.98,37,90.7267759562842,-59.2182135758598
5,26,2014,40.71,-74,36,107.20218579235,-66.4185951677031
5,26,2014,40.67,-73.99,36,50.2021857923497,-28.2899749646239
5,26,2014,40.7,-73.94,36,29.224043715847,23.1862378459237
5,26,2014,40.72,-73.94,36,51.3387978142077,-29.877594465141
5,26,2014,40.68,-74,34,60.5191256830601,-43.8194130925508
5,26,2014,40.8,-73.97,34,86.2513661202186,-60.5803345159655
5,26,2014,40.66,-73.98,32,34.1748633879781,-6.36392708666454
5,26,2014,40.77,-73.88,32,12.0109289617486,166.424021838035
5,26,2014,40.67,-73.95,32,29.3551912568306,9.00967982129561
5,26,2014,40.78,-73.99,31,75.7704918032787,-59.0869753353527
5,26,2014,40.67,-73.97,29,34.3551912568306,-15.5877206934945
5,26,2014,40.68,-73.99,29,57.0109289617486,-49.1325601456916
5,26,2014,40.81,-73.94,28,33.9453551912568,-17.5144880875724
5,26,2014,40.73,-73.95,26,56.207650273224,-53.7429515846782
5,26,2014,40.79,-73.95,26,66.9562841530055,-61.1686933812128
5,26,2014,40.73,-73.96,25,61.9890710382514,-59.6703102961918
5,26,2014,40.71,-73.97,25,63.0054644808743,-60.3209019947962
5,26,2014,40.75,-73.96,25,39.3224043715847,-36.4230127848805
5,26,2014,40.72,-74.02,24,54.0382513661202,-55.5870158762261
5,26,2014,40.74,-74.03,23,33.3224043715847,-30.9773696293867
5,26,2014,40.75,-73.95,22,29.3934426229508,-25.1533742331288
5,26,2014,40.68,-73.95,22,40.0437158469945,-45.0600436681223
5,26,2014,40.69,-73.94,21,30.016393442623,-30.0382304751502
5,26,2014,40.8,-73.96,21,44.3715846994535,-52.6724137931034
5,26,2014,40.7,-73.98,21,43.5081967213115,-51.7332328560663
5,26,2014,40.74,-73.96,20,28.6939890710383,-30.2989906684441
5,26,2014,40.7,-73.92,20,31.1092896174863,-35.7105216933076
5,26,2014,40.7,-73.97,20,24.327868852459,-17.7897574123989
5,26,2014,40.75,-74.03,19,29.8688524590164,-36.3885839736553
5,26,2014,40.69,-73.92,19,23.6448087431694,-19.644095216085
5,26,2014,40.75,-73.94,17,48.3497267759563,-64.8395117540687
5,26,2014,40.69,-73.93,17,21.0874316939891,-19.3832599118943
5,26,2014,40.78,-73.97,17,66.2786885245902,-74.3507296561959
5,26,2014,40.8,-73.95,17,36.1311475409836,-52.9491833030853
5,26,2014,40.69,-73.91,17,16.7431693989071,1.53394255874674
5,26,2014,40.81,-73.95,17,43.4043715846995,-60.8334382475135
5,26,2014,40.74,-73.95,15,26.3715846994536,-43.1205967675093
5,26,2014,40.71,-73.99,15,53.3333333333333,-71.875
5,26,2014,40.68,-73.94,14,24.2786885245902,-42.3362592842674
5,26,2014,40.76,-73.93,14,20.5027322404372,-31.7164179104478
5,26,2014,40.66,-73.99,14,29.4371584699454,-52.4410618154817
5,26,2014,40.68,-74.02,14,13.0819672131148,7.01754385964912
5,26,2014,40.77,-73.92,14,31.8907103825137,-56.100068540096
5,26,2014,40.76,-73.92,14,34.5737704918033,-59.506875296349
5,26,2014,40.81,-73.96,14,49.5628415300546,-71.7530319735391
5,26,2014,40.77,-73.91,13,18.8032786885246,-30.8631211857018
5,26,2014,40.76,-73.91,13,14.3387978142077,-9.33689024390244
5,26,2014,40.8,-73.94,13,27.0327868852459,-51.9102486355367
5,26,2014,40.7,-74,13,20.4699453551913,-36.4922584089696
5,26,2014,40.7,-73.91,12,13.0655737704918,-8.15558343789209
5,26,2014,40.66,-73.96,12,19.6174863387978,-38.8300835654596
5,26,2014,40.7,-73.95,12,16.7595628415301,-28.3990870557548
5,26,2014,40.76,-73.84,12,8.12021857923497,47.7792732166891
5,26,2014,40.68,-74.01,12,25.1912568306011,-52.3644251626898
5,26,2014,40.66,-73.95,12,14.8032786885246,-18.936877076412
5,26,2014,40.84,-73.94,11,25.5191256830601,-56.8950749464668
5,26,2014,40.66,-74,11,10.551912568306,4.24650440186431
5,26,2014,40.82,-73.94,11,27.1092896174863,-59.4235033259423
5,26,2014,40.67,-73.94,11,16.0109289617486,-31.296928327645
5,26,2014,40.67,-73.93,10,9.13114754098361,9.51526032315978
5,26,2014,40.68,-73.93,10,16.2513661202186,-38.4667114996638
5,26,2014,40.79,-73.94,9,19.7704918032787,-54.4776119402985
5,26,2014,40.76,-73.95,9,17.0765027322404,-47.296
5,26,2014,40.71,-73.93,9,26.1147540983607,-65.5367231638418
5,26,2014,40.73,-73.97,9,13.8360655737705,-34.9526066350711
5,26,2014,40.75,-73.93,9,12.896174863388,-30.2118644067797
5,26,2014,40.71,-73.92,9,25.5792349726776,-64.8152104251228
5,26,2014,40.71,-74.04,8,8.42622950819672,-5.05836575875486
5,26,2014,40.67,-74.02,8,7.03825136612022,13.6645962732919
5,26,2014,40.74,-73.93,8,12.1803278688525,-34.3203230148048
5,26,2014,40.83,-73.94,8,19.1311475409836,-58.1833761782348
5,26,2014,40.65,-73.97,8,11.4043715846995,-29.8514614278869
5,26,2014,40.67,-74.01,8,15.5409836065574,-48.5232067510549
5,26,2014,40.75,-73.92,8,10.1967213114754,-21.5434083601286
5,26,2014,40.65,-73.98,8,9.20218579234973,-13.0641330166271
5,26,2014,40.72,-74.04,8,18.5792349726776,-56.9411764705882
5,26,2014,40.85,-73.94,7,20.2185792349727,-65.3783783783784
5,26,2014,40.73,-73.9,7,3.02732240437158,131.227436823105
5,26,2014,40.66,-73.94,7,8.47540983606557,-17.4081237911025
5,26,2014,40.89,-73.91,7,9.20218579234973,-23.9311163895487
5,26,2014,40.78,-73.91,7,11.1639344262295,-37.2980910425844
5,26,2014,40.73,-73.94,7,20.8306010928962,-66.395592864638
5,26,2014,40.74,-73.92,7,17.7978142076503,-60.6693276020878
5,26,2014,40.79,-73.96,7,23.9453551912568,-70.7667731629393
5,26,2014,40.74,-74.04,7,17.0928961748634,-59.0473145780051
5,26,2014,40.73,-74.04,7,11.775956284153,-40.5568445475638
5,26,2014,40.76,-73.83,7,11.0819672131148,-36.8343195266272
5,26,2014,40.62,-74.03,7,10.0491803278689,-30.3425774877651
5,26,2014,40.82,-73.95,7,22.0710382513661,-68.2842287694974
5,26,2014,40.64,-73.95,7,4.4207650273224,58.3436341161928
5,26,2014,40.78,-74.02,6,1.26775956284153,373.275862068966
5,26,2014,40.75,-74.02,6,4.0983606557377,46.4
5,26,2014,40.65,-73.95,6,6.18579234972678,-3.00353356890459
5,26,2014,40.8,-73.93,6,15.0765027322404,-60.2029720913374
5,26,2014,40.64,-73.98,6,5.19125683060109,15.5789473684211
5,26,2014,40.75,-74.04,6,6.54098360655738,-8.27067669172933
5,26,2014,40.75,-73.9,6,5.4207650273224,10.6854838709677
5,26,2014,40.63,-74.03,6,7.13114754098361,-15.8620689655172
5,26,2014,40.86,-73.93,6,8.67213114754098,-30.8128544423441
5,26,2014,40.78,-73.92,6,7.91256830601093,-24.171270718232
5,26,2014,40.73,-74.03,6,7.34426229508197,-18.3035714285714
5,26,2014,40.65,-73.96,5,17.4262295081967,-71.307619943556
5,26,2014,40.71,-73.91,5,4.63934426229508,7.77385159010601
5,26,2014,40.73,-73.85,5,7.29508196721311,-31.4606741573034
5,26,2014,40.77,-73.93,5,14.8415300546448,-66.3107511045655
5,26,2014,40.64,-73.97,5,12.6229508196721,-60.3896103896104
5,26,2014,40.68,-73.92,5,8.75956284153006,-42.9195258889582
5,26,2014,40.72,-74.07,5,1.46994535519126,240.148698884758
5,26,2014,40.7,-73.96,5,13.5409836065574,-63.0750605326877
5,26,2014,40.81,-73.97,5,11.103825136612,-54.9704724409449
5,26,2014,40.83,-73.95,5,14.103825136612,-64.5486245641224
5,26,2014,40.76,-73.88,4,2.95081967213115,35.5555555555555
5,26,2014,40.86,-73.91,4,1.38251366120219,189.328063241107
5,26,2014,40.62,-73.94,4,1.80874316939891,121.148036253776
5,26,2014,40.85,-73.93,4,11.5792349726776,-65.4554034922133
5,26,2014,40.77,-74,4,16.2677595628415,-75.4114880752435
5,26,2014,40.67,-73.8,4,4.3224043715847,-7.45891276864728
5,26,2014,40.62,-73.92,4,1.9344262295082,106.779661016949
5,26,2014,40.69,-74.19,4,2.83060109289617,41.3127413127413
5,26,2014,40.72,-74.06,4,1.80327868852459,121.818181818182
5,26,2014,40.66,-73.8,4,2.83606557377049,41.0404624277457
5,26,2014,40.58,-73.97,4,2.0327868852459,96.7741935483871
5,26,2014,40.6,-73.94,4,1.49180327868852,168.131868131868
5,26,2014,40.72,-73.84,4,10.3224043715847,-61.2493382742192
5,26,2014,40.68,-73.91,4,6.85245901639344,-41.6267942583732
5,26,2014,40.61,-73.92,4,1.5792349726776,153.287197231834
5,26,2014,40.8,-73.92,4,2.77595628415301,44.0944881889764
5,26,2014,40.66,-73.93,4,4,0
5,26,2014,40.63,-73.96,4,6.10928961748634,-34.525939177102
5,26,2014,40.66,-73.92,4,3.4207650273224,16.9329073482428
5,26,2014,40.81,-73.91,4,0.983606557377049,306.666666666667
5,26,2014,40.63,-73.98,4,1.79234972677596,123.170731707317
5,26,2014,40.65,-74,4,5.37158469945355,-25.5340793489318
5,26,2014,40.73,-73.91,4,1.62841530054645,145.637583892617
5,26,2014,40.77,-73.9,4,7.40437158469945,-45.9778597785978
5,26,2014,40.6,-74,3,1.65573770491803,81.1881188118812
5,26,2014,40.72,-74.05,3,8.70491803278689,-65.5367231638418
5,26,2014,40.71,-73.78,3,1.74863387978142,71.5625
5,26,2014,40.79,-73.73,3,1.48633879781421,101.838235294118
5,26,2014,40.7,-74.19,3,0.956284153005464,213.714285714286
5,26,2014,40.64,-73.96,3,9.28415300546448,-67.6868746321366
5,26,2014,40.76,-73.94,3,4.27868852459016,-29.8850574712644
5,26,2014,40.68,-73.77,3,0.540983606557377,454.545454545455
5,26,2014,40.7,-73.81,3,5.31693989071038,-43.5765673175745
5,26,2014,40.71,-73.98,3,21.2950819672131,-85.9122401847575
5,26,2014,40.65,-73.92,3,1.63934426229508,83
5,26,2014,40.72,-73.85,3,8.62295081967213,-65.2091254752852
5,26,2014,40.64,-73.94,3,1.7431693989071,72.1003134796238
5,26,2014,40.86,-73.89,3,6.26229508196721,-52.0942408376963
5,26,2014,40.78,-73.94,3,18.3005464480874,-83.6070468796656
5,26,2014,40.58,-73.98,3,4.79234972677596,-37.400228050171
5,26,2014,40.75,-73.83,3,2.79781420765027,7.2265625
5,26,2014,40.78,-73.9,3,2.5792349726776,16.3135593220339
5,26,2014,40.71,-73.85,3,2.31147540983607,29.7872340425532
5,26,2014,40.73,-74.06,3,3.46448087431694,-13.4069400630915
5,26,2014,40.87,-73.93,3,6.28415300546448,-52.2608695652174
5,26,2014,40.73,-74.05,3,6.27868852459016,-52.2193211488251
5,26,2014,40.62,-73.97,3,3.34426229508197,-10.2941176470588
5,26,2014,40.78,-73.78,3,1.08196721311475,177.272727272727
5,26,2014,40.63,-74.01,3,2.89617486338798,3.58490566037736
5,26,2014,40.71,-73.81,3,1.18579234972678,152.995391705069
5,26,2014,40.7,-74.02,3,7.6775956284153,-60.9252669039146
5,26,2014,40.7,-74.09,3,0.39344262295082,662.5
5,26,2014,40.67,-74,3,8.94535519125683,-66.4630421502749
5,26,2014,40.76,-73.9,3,3.44262295081967,-12.8571428571429
5,26,2014,40.69,-73.9,3,1.62841530054645,84.2281879194631
5,26,2014,40.67,-73.83,3,1.15300546448087,160.189573459716
5,26,2014,40.72,-73.97,3,9.31693989071038,-67.8005865102639
5,26,2014,40.64,-74.02,3,4.00546448087432,-25.1023192360164
5,26,2014,40.79,-73.93,3,6.40983606557377,-53.1969309462916
5,26,2014,40.64,-73.91,3,1.53005464480874,96.0714285714286
5,26,2014,40.81,-74.1,3,0.775956284153005,286.619718309859
5,26,2014,40.67,-73.9,3,1.23497267759563,142.920353982301
5,26,2014,40.63,-73.95,3,5.82513661202186,-48.4990619136961
5,26,2014,40.72,-74.03,3,8.98907103825137,-66.6261398176292
5,26,2014,40.89,-73.95,3,0.524590163934426,471.875
5,26,2014,40.77,-73.94,3,8.09836065573771,-62.9554655870445
5,26,2014,40.68,-73.84,2,1.49726775956284,33.5766423357664
5,26,2014,40.83,-73.91,2,1.14207650273224,75.1196172248804
5,26,2014,40.72,-73.88,2,2.12021857923497,-5.67010309278351
5,26,2014,40.89,-73.89,2,0.978142076502732,104.469273743017
5,26,2014,40.66,-73.87,2,0.508196721311475,293.548387096774
5,26,2014,40.68,-73.86,2,1.39344262295082,43.5294117647059
5,26,2014,40.72,-73.87,2,2.16939890710383,-7.80856423173803
5,26,2014,40.78,-74.01,2,2.47540983606557,-19.205298013245
5,26,2014,40.58,-74,2,0.327868852459016,510
5,26,2014,40.82,-73.91,2,1.94535519125683,2.80898876404495
5,26,2014,40.71,-73.83,2,6.73770491803279,-70.316301703163
5,26,2014,40.79,-74,2,1.31147540983607,52.5
5,26,2014,40.8,-73.98,2,5.12021857923497,-60.9391675560299
5,26,2014,40.73,-73.86,2,8.18579234972678,-75.5674232309746
5,26,2014,40.89,-73.79,2,0.469945355191257,325.581395348837
5,26,2014,40.78,-73.73,2,0.989071038251366,102.209944751381
5,26,2014,40.64,-73.92,2,1.88524590163934,6.08695652173913
5,26,2014,40.8,-74.02,2,0.26775956284153,646.938775510204
5,26,2014,40.61,-73.93,2,0.852459016393443,134.615384615385
5,26,2014,40.72,-73.81,2,2.37158469945355,-15.668202764977
5,26,2014,40.72,-73.24,2,0.289617486338798,590.566037735849
5,26,2014,40.74,-73.83,2,1.96174863387978,1.94986072423399
5,26,2014,40.87,-73.88,2,2.31693989071038,-13.6792452830189
5,26,2014,40.73,-74.16,2,3.45355191256831,-42.0886075949367
5,26,2014,40.78,-74.04,2,0.327868852459016,510
5,26,2014,40.69,-73.86,2,1.45901639344262,37.0786516853933
5,26,2014,40.59,-73.96,2,1.7103825136612,16.9329073482428
5,26,2014,40.64,-74,2,4.0983606557377,-51.2
5,26,2014,40.75,-73.91,2,8.91803278688525,-77.5735294117647
5,26,2014,40.82,-73.81,2,0.218579234972678,815
5,26,2014,40.85,-73.87,2,1.00546448087432,98.9130434782609
5,26,2014,40.76,-73.79,2,0.92896174863388,115.294117647059
5,26,2014,40.86,-73.9,2,1.89071038251366,5.78034682080924
5,26,2014,40.75,-73.85,2,14.1912568306011,-85.9068155564112
5,26,2014,40.61,-73.95,2,2.62295081967213,-23.75
5,26,2014,40.75,-73.88,2,5.34426229508197,-62.5766871165644
5,26,2014,40.74,-74.16,2,1.47540983606557,35.5555555555555
5,26,2014,40.59,-73.79,2,0.103825136612022,1826.31578947368
5,26,2014,40.62,-74.02,2,5.50273224043716,-63.6544190665343
5,26,2014,40.65,-73.69,2,0.087431693989071,2187.5
5,26,2014,40.6,-73.97,2,6.55737704918033,-69.5
5,26,2014,40.86,-73.92,2,2.11475409836066,-5.42635658914728
5,26,2014,40.67,-73.92,2,3.46448087431694,-42.2712933753943
5,26,2014,40.73,-73.89,2,2.08743169398907,-4.18848167539267
5,26,2014,40.79,-74.07,2,0.415300546448087,381.578947368421
5,26,2014,40.74,-74.05,2,3.19125683060109,-37.3287671232877
5,26,2014,40.91,-73.9,2,1.7431693989071,14.7335423197492
5,26,2014,40.65,-73.8,2,1.21857923497268,64.1255605381166
5,26,2014,40.89,-73.9,2,8.04371584699454,-75.1358695652174
5,26,2014,40.76,-73.89,2,2.69398907103825,-25.7606490872211
5,26,2014,40.67,-73.81,2,2.52459016393443,-20.7792207792208
5,26,2014,40.76,-73.85,2,2.01092896174863,-0.543478260869566
5,26,2014,40.63,-73.92,2,1.86338797814208,7.33137829912023
5,26,2014,40.78,-73.82,2,0.699453551912568,185.9375
5,26,2014,40.7,-73.82,2,1.69945355191257,17.6848874598071
5,26,2014,41.06,-73.71,2,0.19672131147541,916.666666666667
5,26,2014,40.65,-73.9,2,1.40983606557377,41.8604651162791
5,26,2014,40.74,-73.9,2,4.4207650273224,-54.7589616810878
5,26,2014,41.07,-73.7,2,2.29508196721311,-12.8571428571429
5,26,2014,40.63,-73.94,2,2.85245901639344,-29.8850574712644
5,26,2014,40.69,-73.85,2,1.31147540983607,52.5
5,26,2014,40.68,-73.9,2,2.32786885245902,-14.0845070422535
5,26,2014,40.64,-73.93,2,1.81420765027322,10.2409638554217
5,26,2014,40.86,-73.94,2,2.92896174863388,-31.7164179104478
5,26,2014,40.63,-74.02,2,5.06010928961749,-60.475161987041
5,26,2014,40.75,-73.87,2,1.84153005464481,8.6053412462908
5,26,2014,40.64,-74.01,2,2.06010928961749,-2.91777188328912
5,26,2014,40.75,-74.16,2,0.426229508196721,369.230769230769
5,26,2014,40.58,-73.82,2,0.322404371584699,520.338983050847
5,26,2014,40.71,-73.88,2,1.3879781420765,44.0944881889764
