"Month","Day","Year","Latitude","Longitude","count","Average","Percent Change"
9,21,2014,40.72,-73.99,1243,604.31693989071,105.686770955783
9,21,2014,40.73,-73.99,1169,790.338797814208,47.9112506222689
9,21,2014,40.73,-74,1114,885.027322404372,25.8718202025191
9,21,2014,40.75,-73.99,1003,940.918032786885,6.59802076799778
9,21,2014,40.74,-74,961,735.327868852459,30.6900011147029
9,21,2014,40.74,-73.99,852,1041.87978142077,-18.22473041581
9,21,2014,40.74,-74.01,850,549.060109289617,54.8100081609905
9,21,2014,40.72,-74,849,904.103825136612,-6.09485587877982
9,21,2014,40.76,-73.97,688,1176.44808743169,-41.5188815086627
9,21,2014,40.76,-73.99,678,657.338797814208,3.14315878729436
9,21,2014,40.75,-73.98,628,873.092896174863,-28.071800520729
9,21,2014,40.77,-73.87,595,332.092896174863,79.166735227815
9,21,2014,40.76,-73.98,503,1228.10928961749,-59.0427330651764
9,21,2014,40.72,-74.01,476,584.967213114754,-18.6279180562173
9,21,2014,40.73,-73.98,465,396.792349726776,17.1897594094721
9,21,2014,40.74,-73.98,460,454.901639344262,1.12076110850841
9,21,2014,40.72,-73.96,449,245.950819672131,82.5568219689395
9,21,2014,40.71,-74.01,441,566.136612021858,-22.1036070384062
9,21,2014,40.64,-73.78,429,190.448087431694,125.258234821531
9,21,2014,40.77,-73.96,407,476.775956284153,-14.6349570200573
9,21,2014,40.73,-74.01,385,401.054644808743,-4.00310656329622
9,21,2014,40.75,-74,381,370.224043715847,2.91065814526722
9,21,2014,40.78,-73.98,363,333.420765027322,8.87144355578864
9,21,2014,40.65,-73.78,362,201.005464480874,80.0946063505872
9,21,2014,40.78,-73.95,343,294.377049180328,16.5172356184218
9,21,2014,40.77,-73.98,325,447.382513661202,-27.3552295684675
9,21,2014,40.75,-73.97,274,383.010928961749,-28.4615713857699
9,21,2014,40.72,-73.98,269,207.251366120219,29.7940780973976
9,21,2014,40.76,-74,266,283.945355191257,-6.32000307917325
9,21,2014,40.78,-73.96,263,305.972677595628,-14.0446127194471
9,21,2014,40.77,-73.99,233,247.786885245902,-5.96758187231227
9,21,2014,40.77,-73.95,232,253.72131147541,-8.56109065064289
9,21,2014,40.69,-74.18,232,118.453551912568,95.8573603358398
9,21,2014,40.77,-73.86,230,136.617486338798,68.3532658693652
9,21,2014,40.76,-73.96,227,224.448087431694,1.13697229390856
9,21,2014,40.75,-73.85,221,14.1912568306011,1457.29688101656
9,21,2014,40.71,-73.96,208,143.704918032787,44.7410449463838
9,21,2014,40.71,-73.95,193,110.644808743169,74.4320426708811
9,21,2014,40.72,-73.95,181,116.387978142077,55.5143433964036
9,21,2014,40.64,-73.79,170,81.2513661202186,109.227251328267
9,21,2014,40.65,-73.79,169,94.6338797814208,78.582977249105
9,21,2014,40.69,-73.99,165,138.349726775956,19.2629749585275
9,21,2014,40.79,-73.97,164,178.573770491803,-8.16120444322042
9,21,2014,40.77,-73.97,162,224.109289617486,-27.7138398517507
9,21,2014,40.74,-74.03,147,33.3224043715847,341.144637586094
9,21,2014,40.68,-73.98,136,97.4590163934426,39.5458368376787
9,21,2014,40.79,-73.98,135,136.786885245902,-1.30632790028762
9,21,2014,40.71,-73.94,126,75.6120218579235,66.6401676664017
9,21,2014,40.7,-73.99,119,139.158469945355,-14.4859813084112
9,21,2014,40.69,-73.97,118,97.5300546448087,20.988346033169
9,21,2014,40.7,-73.93,118,62.3169398907104,89.3546124166959
9,21,2014,40.72,-73.94,117,51.3387978142077,127.897817988292
9,21,2014,40.67,-73.98,115,78.5464480874317,46.4101850563517
9,21,2014,40.69,-73.98,106,90.7267759562842,16.8343070529422
9,21,2014,40.68,-73.96,105,65.2732240437158,60.8622854750942
9,21,2014,40.71,-74.02,102,114.96174863388,-11.2748360110277
9,21,2014,40.69,-73.96,100,67.2349726775956,48.7321196358908
9,21,2014,40.75,-74.01,99,194.628415300546,-49.1338405817447
9,21,2014,40.77,-73.89,96,55.5737704918033,72.7433628318584
9,21,2014,40.71,-73.97,93,63.0054644808743,47.6062445793582
9,21,2014,40.68,-73.97,89,74.6010928961749,19.3012012891884
9,21,2014,40.74,-73.97,88,86.0109289617486,2.31257941550191
9,21,2014,40.8,-73.97,87,86.2513661202186,0.867967562088193
9,21,2014,40.71,-73.99,85,53.3333333333333,59.375
9,21,2014,40.71,-74,83,107.20218579235,-22.5762055255378
9,21,2014,40.8,-73.96,82,44.3715846994535,84.8029556650246
9,21,2014,40.73,-73.96,82,61.9890710382514,32.2813822284908
9,21,2014,40.67,-73.96,82,46.9508196721311,74.6508379888268
9,21,2014,40.67,-73.99,82,50.2021857923497,63.3395014694677
9,21,2014,40.68,-73.99,80,57.0109289617486,40.3239720118854
9,21,2014,40.68,-74,77,60.5191256830601,27.2325056433409
9,21,2014,40.7,-74.01,77,138.114754098361,-44.2492581602374
9,21,2014,40.73,-73.95,76,56.207650273224,35.2129107524791
9,21,2014,40.69,-74,76,71.2950819672131,6.599218211083
9,21,2014,40.79,-73.95,74,66.9562841530055,10.5198726842406
9,21,2014,40.77,-73.92,73,31.8907103825137,128.9067854695
9,21,2014,40.75,-74.03,73,29.8688524590164,144.401756311745
9,21,2014,40.76,-73.92,70,34.5737704918033,102.465623518255
9,21,2014,40.7,-74.18,69,52.8579234972678,30.5386126331024
9,21,2014,40.78,-73.99,69,75.7704918032787,-8.93552574643012
9,21,2014,40.75,-73.94,64,48.3497267759563,32.3688969258589
9,21,2014,40.71,-73.93,63,26.1147540983607,141.242937853107
